participant,trial_num,trial_type,emotion,framing,peer,risk_level,FinancialDecisionResp.keys,FinancialDecisionResp.rt
22,28,peer,Neutral,Gain,Absent,High,2,2.7748
22,10,emotion,Positive,Neutral,Absent,High,2,1.9572
22,8,emotion,Negative,Neutral,Absent,High,2,3.4408
22,39,framing,Neutral,Gain,Absent,Low,2,3.0828
22,19,peer,Neutral,Gain,Present,Low,2,2.5919
22,2,emotion,Negative,Neutral,Absent,High,2,2.5456
22,35,framing,Neutral,Gain,Absent,Low,2,1.0611
22,17,peer,Neutral,Loss,Present,Low,2,3.0855
22,11,peer,Neutral,Gain,Present,Low,2,4.2774
22,38,framing,Neutral,Loss,Absent,High,2,3.1066
22,37,framing,Neutral,Gain,Absent,High,2,1.8789
22,21,peer,Neutral,Loss,Present,High,2,2.1119
22,32,framing,Neutral,Loss,Absent,Low,2,1.297
22,4,emotion,Positive,Neutral,Absent,High,2,1.0264
22,18,peer,Neutral,Loss,Absent,Low,2,0.7879
22,26,peer,Neutral,Loss,Absent,High,2,0.83
23,4,emotion,Positive,Neutral,Absent,High,1,3.8574
23,25,peer,Neutral,Loss,Present,High,1,21.3263
23,40,framing,Neutral,Loss,Absent,Low,2,7.9468
23,12,peer,Neutral,Gain,Absent,Low,1,24.8624
23,39,framing,Neutral,Gain,Absent,Low,1,3.9617
23,22,peer,Neutral,Loss,Absent,High,1,23.6545
23,19,peer,Neutral,Gain,Present,Low,1,4.4932
23,9,emotion,Neutral,Neutral,Absent,Low,1,1.2781
23,38,framing,Neutral,Loss,Absent,High,1,1.3831
23,15,peer,Neutral,Gain,Present,High,1,2.7996
23,23,peer,Neutral,Gain,Present,Low,1,12.362
23,13,peer,Neutral,Loss,Present,High,1,1.202
23,34,framing,Neutral,Loss,Absent,High,1,0.3705
23,31,framing,Neutral,Gain,Absent,Low,1,0.5978
23,35,framing,Neutral,Gain,Absent,Low,1,1.7167
23,29,peer,Neutral,Loss,Present,Low,1,5.1655
23,14,peer,Neutral,Loss,Absent,High,1,22.9456
23,36,framing,Neutral,Loss,Absent,Low,2,47.2544
23,37,framing,Neutral,Gain,Absent,High,1,25.9588
23,33,framing,Neutral,Gain,Absent,High,1,0.6353
23,20,peer,Neutral,Gain,Absent,Low,1,0.8802
23,5,emotion,Negative,Neutral,Absent,Low,1,10.6234
23,26,peer,Neutral,Loss,Absent,High,1,0.7637
23,3,emotion,Neutral,Neutral,Absent,Low,1,0.5874
23,10,emotion,Positive,Neutral,Absent,High,1,0.1181
23,32,framing,Neutral,Loss,Absent,Low,1,1.6332
23,27,peer,Neutral,Gain,Present,High,1,2.0263
23,28,peer,Neutral,Gain,Absent,High,1,0.4397
23,21,peer,Neutral,Loss,Present,High,1,1.019
23,6,emotion,Neutral,Neutral,Absent,High,1,3.3485
23,2,emotion,Negative,Neutral,Absent,High,1,4.5149
23,8,emotion,Negative,Neutral,Absent,High,1,1.0871
23,24,peer,Neutral,Gain,Absent,Low,1,4.7947
23,30,peer,Neutral,Loss,Absent,Low,1,2.0539
23,17,peer,Neutral,Loss,Present,Low,1,3.2014
23,16,peer,Neutral,Gain,Absent,High,1,0.8399
23,18,peer,Neutral,Loss,Absent,Low,1,3.1638
23,11,peer,Neutral,Gain,Present,Low,1,0.3255
23,7,emotion,Positive,Neutral,Absent,Low,1,0.6672
23,1,emotion,Positive,Neutral,Absent,Low,1,2.4814
30,23,peer,Neutral,Gain,Present,Low,1,10.1449
30,19,peer,Neutral,Gain,Present,Low,1,6.1339
30,40,framing,Neutral,Loss,Absent,Low,1,3.6026
30,13,peer,Neutral,Loss,Present,High,1,6.5967
30,15,peer,Neutral,Gain,Present,High,1,2.7738
30,16,peer,Neutral,Gain,Absent,High,1,2.0127
30,7,emotion,Positive,Neutral,Absent,Low,1,2.973
30,4,emotion,Positive,Neutral,Absent,High,1,4.1275
30,38,framing,Neutral,Loss,Absent,High,1,2.1696
30,20,peer,Neutral,Gain,Absent,Low,1,1.9192
30,37,framing,Neutral,Gain,Absent,High,1,1.569
30,9,emotion,Neutral,Neutral,Absent,Low,1,1.0446
30,35,framing,Neutral,Gain,Absent,Low,1,1.1887
30,29,peer,Neutral,Loss,Present,Low,1,3.0006
30,3,emotion,Neutral,Neutral,Absent,Low,1,2.168
30,8,emotion,Negative,Neutral,Absent,High,1,2.2083
30,27,peer,Neutral,Gain,Present,High,1,1.572
30,12,peer,Neutral,Gain,Absent,Low,1,1.2335
30,6,emotion,Neutral,Neutral,Absent,High,1,1.0708
30,10,emotion,Positive,Neutral,Absent,High,1,2.6516
30,22,peer,Neutral,Loss,Absent,High,1,1.2858
30,32,framing,Neutral,Loss,Absent,Low,1,1.2032
30,31,framing,Neutral,Gain,Absent,Low,1,0.9344
30,11,peer,Neutral,Gain,Present,Low,1,1.227
30,24,peer,Neutral,Gain,Absent,Low,1,1.2949
30,33,framing,Neutral,Gain,Absent,High,1,0.7527
30,28,peer,Neutral,Gain,Absent,High,1,0.6019
30,39,framing,Neutral,Gain,Absent,Low,1,0.6026
30,26,peer,Neutral,Loss,Absent,High,1,0.7254
30,18,peer,Neutral,Loss,Absent,Low,1,1.0273
30,30,peer,Neutral,Loss,Absent,Low,1,1.4013
30,2,emotion,Negative,Neutral,Absent,High,1,1.4466
30,14,peer,Neutral,Loss,Absent,High,1,1.5378
30,1,emotion,Positive,Neutral,Absent,Low,1,0.8691
30,17,peer,Neutral,Loss,Present,Low,1,0.8356
30,25,peer,Neutral,Loss,Present,High,1,1.1402
30,34,framing,Neutral,Loss,Absent,High,1,1.8926
30,36,framing,Neutral,Loss,Absent,Low,1,0.7543
30,21,peer,Neutral,Loss,Present,High,1,1.4776
30,5,emotion,Negative,Neutral,Absent,Low,1,1.1827
31,30,peer,Neutral,Loss,Absent,Low,1,17.3842
31,26,peer,Neutral,Loss,Absent,High,2,13.52
31,19,peer,Neutral,Gain,Present,Low,2,17.2725
31,8,emotion,Negative,Neutral,Absent,High,2,5.9658
31,27,peer,Neutral,Gain,Present,High,1,3.1507
31,28,peer,Neutral,Gain,Absent,High,2,4.5308
31,37,framing,Neutral,Gain,Absent,High,2,1.4685
